n_obs,n_iter,burn_in,thin,saved_draws,mh_acceptance_rate_nu,chain,seed
751.0,120000.0,20000.0,20.0,5000.0,0.43145833333333333,1.0,211.0
751.0,120000.0,20000.0,20.0,5000.0,0.4293,2.0,1211.0
751.0,120000.0,20000.0,20.0,5000.0,0.4271333333333333,3.0,2211.0
751.0,120000.0,20000.0,20.0,5000.0,0.42880833333333335,4.0,3211.0
