iter,mu,sigma2,nu,chain
20020,0.001075697217431933,4.440260425394053e-05,4.634388852317814,1
20040,0.0009065278013332495,4.605654492338304e-05,4.343366418863534,1
20060,0.001226135763349661,3.988611665917179e-05,3.841913631862502,1
20080,0.0005749443916683637,4.149812128034988e-05,3.2366422702861897,1
20100,0.0008607330584972884,3.888845044581488e-05,3.423633135032599,1
20120,0.0011385099045984016,4.096175272889633e-05,3.781425764726362,1
20140,0.0013022544837715938,4.113855251101888e-05,3.4009681413233555,1
20160,0.0007695459178896989,4.5854082549967965e-05,3.7587751144429706,1
20180,0.001021510693322845,3.887535530871847e-05,3.897139475797057,1
20200,0.0007957622520276055,3.6754837300038e-05,3.4378244127876068,1
20220,0.0005305718928972275,4.250485489582071e-05,3.934038519797851,1
20240,0.0007553323703064002,4.742119786509114e-05,4.5357443767816115,1
20260,0.000736466038227268,4.085800950016359e-05,4.039049793550353,1
20280,0.0007607514723045232,4.4610948011110316e-05,4.381581125567286,1
20300,0.0010512781615943882,3.707334847457879e-05,3.5790345022438084,1
20320,0.0007897936470386876,3.9765704990804134e-05,3.4037466629148323,1
20340,0.0010554529217293197,3.850800164677791e-05,3.500874972344149,1
20360,0.0008206710407531938,4.136587265933629e-05,3.7490436704867394,1
20380,0.0007247587084476467,4.19984607823971e-05,3.9305822756220845,1
20400,0.0006232626945761544,3.84834148189043e-05,4.4188695905027275,1
20420,0.0007979127702799912,4.044231858024326e-05,4.077280959044092,1
20440,0.001218869250357483,4.157721191747226e-05,3.8871112420708087,1
20460,0.0015213709011456505,3.902580741527867e-05,4.11322048608099,1
20480,0.001144202412051934,3.804086199591066e-05,3.6077325887176626,1
20500,0.0006211275146756236,4.222965460359439e-05,3.668871404267791,1
20520,0.0012550898534213761,3.778312514307951e-05,3.2673365044192657,1
20540,0.0014711681340006928,3.8180001152506717e-05,3.9916168293645287,1
20560,0.0009480300973248763,3.445352798449722e-05,3.127847774283431,1
20580,0.0009461174766625086,3.597918295442856e-05,3.139089817383125,1
20600,0.0009123320595745633,3.503703327136004e-05,3.2941977275417873,1
20620,0.0006460720036699987,3.781057280207137e-05,3.6505180664680568,1
20640,0.001313423397939636,4.261900353933514e-05,3.3112925538046154,1
20660,0.0015195078447811255,3.369972429801302e-05,2.8787447748495323,1
20680,0.0011454649668131349,3.624533680284482e-05,2.852681883276161,1
20700,0.0008559117041763233,3.517957225213526e-05,2.8799354492616143,1
20720,0.00045106560702701986,3.350564507274853e-05,3.488524684386676,1
20740,0.0007155959627892005,4.205218410405115e-05,3.42472102478086,1
20760,0.00034459994290399367,4.124294820455598e-05,4.642515117363788,1
20780,0.001010537818481247,3.782132933379745e-05,3.799079946343733,1
20800,0.0006971173856127583,3.656308639222979e-05,3.207542081571315,1
20820,0.001342961425043919,3.914648344087673e-05,3.2643302358809283,1
20840,0.0005451972491270047,4.755149400796244e-05,3.6446083368802524,1
20860,0.0006754198263671963,4.4057227876438715e-05,4.054120090458663,1
20880,0.0007093917003998953,3.597034504920743e-05,4.149534031958101,1
20900,0.0006943262871268618,4.2785477482524166e-05,4.237426803112338,1
20920,0.0011136651417558334,4.5890613243089965e-05,4.245799621996701,1
20940,0.0010963240395420373,3.904177842842503e-05,3.6580402770933,1
20960,0.0011892023337083352,3.7753566210780135e-05,3.2538119587260184,1
20980,0.0007951619716085578,3.556258085955758e-05,3.463757020608866,1
21000,0.0012687028119133935,3.5632878396924954e-05,3.1478562998778736,1
21020,0.001401032927114046,4.363644456104406e-05,4.381701964309514,1
21040,0.0001814701129292788,4.010200517908375e-05,4.2539620073919036,1
21060,0.0008825379063494408,4.3436560150871436e-05,4.437363583998174,1
21080,0.0010640550324377087,3.988379885294076e-05,4.212062434404075,1
21100,0.0012672162603044824,4.489367518846886e-05,4.691593529193445,1
21120,0.0009484594548637323,3.955180446736323e-05,4.1675056468570135,1
21140,0.0008529034861626591,4.308596685948663e-05,4.374494108412427,1
21160,0.0015815217640435736,4.1235569034723496e-05,4.359108724496302,1
21180,0.001190430718916649,3.8466466162854765e-05,3.803231040107012,1
21200,0.0007597811430307749,3.947406965250328e-05,3.942725951049452,1
21220,0.0009414555065683102,4.3909276605417434e-05,4.194196511020635,1
21240,0.0009038251128740389,4.168379414557071e-05,4.080679143278444,1
21260,0.0014828175566380226,4.008656422597921e-05,3.945123782794539,1
21280,0.0008552053688728107,4.352308702419472e-05,4.277098449735502,1
21300,0.0007577157629488759,4.079300972175744e-05,4.47954035536776,1
21320,0.0009829331048203773,3.7555703234178364e-05,3.0449188673514405,1
21340,0.0010139891725874251,4.067610613352394e-05,4.66439656618088,1
21360,0.0012931272072737407,3.789426343057231e-05,4.403530896796301,1
21380,0.0009021877589517443,4.248394931599046e-05,3.39362052869764,1
21400,0.000910968351658985,3.842348964774455e-05,3.4495389133351435,1
21420,0.0007646885782631509,4.453970284256559e-05,4.054304295777007,1
21440,0.00086449098045466,3.744957610672841e-05,3.6399359296016214,1
21460,0.0008835833081883997,3.530235074610351e-05,3.6687725006261784,1
21480,0.0005514649247135234,3.7179617962180394e-05,3.2316010765908727,1
21500,0.0015075650516759545,4.089479119780116e-05,3.7692184634382686,1
21520,0.0011907787089661444,4.108362196937496e-05,4.524492252325686,1
21540,0.0007491854395088042,3.76586715542493e-05,4.044718757460101,1
21560,0.0005802080432399077,4.530535768734542e-05,4.488055976018561,1
21580,0.0012962679980115372,4.519245098887941e-05,4.501197145108791,1
21600,0.00048466516762066155,4.454852240160683e-05,4.0955154555083,1
21620,0.0009416489494276457,4.1023300095793935e-05,3.9601926251534327,1
21640,0.0011485743298823429,3.7130692071883524e-05,3.9326711583944602,1
21660,0.001328353804995097,4.004925906545544e-05,3.5255719246254102,1
21680,0.0011773902591613696,3.790710418133517e-05,3.281637609202862,1
21700,0.0009043702647872163,3.929172307130224e-05,3.4338682395367943,1
