parameter,mean,sd,q2.5,q50,q97.5
mu,0.0009714034732453273,0.00027343956182876065,0.00043527370124043537,0.0009708477444929523,0.0015023817808215046
sigma2,4.053872863909757e-05,3.690094867485121e-06,3.378688052223922e-05,4.0400310534458776e-05,4.8191072510129384e-05
nu,3.963684374821592,0.5977612074072726,2.9734529507042686,3.9002006730203203,5.318558865187395
