parameter,draws,mean,sd,mcse,ess,ess_per_draw,split_rhat,geweke_z
mu,20000,0.0009690039022229591,0.0002754593559386319,2.0105458979251192e-06,18770.985389357058,0.9385492694678529,0.999989687531381,0.6116589523063705
nu,20000,3.9062152334738887,0.5905338886102238,0.007053387379663759,7009.615201485213,0.35048076007426066,1.000337570811995,1.0418271795243264
sigma2,20000,3.9887819118466976e-05,3.68218999115197e-06,3.691894641917104e-08,9947.49635781489,0.49737481789074456,1.0000995167828006,-0.6747929854658629
