parameter,draws,mean,sd,mcse,ess,ess_per_draw,split_rhat,geweke_z
mu,2000,0.0009902957309996026,0.000269579786731967,7.099273163572225e-06,1441.938960843662,0.720969480421831,0.999511226905334,0.515199049507036
nu,2000,3.8584630274759992,0.5693457298985128,0.044310970234469185,165.09336388028265,0.08254668194014132,1.0010441474025622,2.9604686438388454
sigma2,2000,3.972769281077174e-05,3.5921883400099697e-06,1.9003767011383648e-07,357.3047610217831,0.17865238051089155,1.000401516519061,0.6306101152654949
