parameter,draws,mean,sd,mcse,ess,ess_per_draw,split_rhat,geweke_z
mu,5000,0.0009683951642967307,0.00026994153082684184,3.817549739430746e-06,5000.0,1.0,0.9998706328875473,1.6573988313734072
nu,5000,3.90972001412972,0.5885462484926806,0.014198046838221201,1718.3197525455332,0.34366395050910664,0.9998125840952531,1.5478371718936883
sigma2,5000,3.9859641652924694e-05,3.6821954877268825e-06,7.623394108976837e-08,2333.0118168402564,0.4666023633680513,0.9998037470489671,0.6377076879452921
