Date,Close,SimpleReturn,LogReturn
2023-04-03,4124.51,0.0036989178231867604,0.0036920936495169103
2023-04-04,4100.6,-0.005797052255904321,-0.00581392038520821
2023-04-05,4090.38,-0.00249231819733708,-0.00249542919247034
2023-04-06,4105.02,0.00357912956742412,0.0035727397253701603
2023-04-10,4109.11,0.000996341065329531,0.000995845047011905
2023-04-11,4108.9400000000005,-4.1371489203245696e-05,-4.13723450269097e-05
2023-04-12,4091.9500000000003,-0.00413488636972059,-0.00414345865079835
2023-04-13,4146.22,0.0132626253986488,0.013175446748329999
2023-04-14,4137.64,-0.0020693547375682003,-0.0020714988104921003
2023-04-17,4151.32,0.0033062325383550503,0.0033007789687629803
2023-04-18,4154.87,0.0008551496873283601,0.0008547842551524591
2023-04-19,4154.52,-8.42384960297871e-05,-8.42420442911619e-05
2023-04-20,4129.79,-0.00595255288216223,-0.0059703399458197
2023-04-21,4133.52,0.000903193624857579,0.000902785990925368
2023-04-24,4137.04,0.0008515744450250381,0.0008512120612239251
2023-04-25,4071.63,-0.0158108212635121,-0.0159371455949679
2023-04-26,4055.9900000000002,-0.0038412134697898303,-0.00384860987711178
2023-04-27,4135.35,0.0195661231906392,0.0193771673800021
2023-04-28,4169.4800000000005,0.00825323128634792,0.00821935961257037
2023-05-01,4167.87,-0.000386139278758857,-0.00038621384972729503
2023-05-02,4119.58,-0.011586253889876599,-0.011653897528004
2023-05-03,4090.75,-0.0069982862330625305,-0.007022889090581161
2023-05-04,4061.2200000000003,-0.00721872517264566,-0.0072449062412514404
2023-05-05,4136.25,0.0184747440424307,0.0183061591680684
2023-05-08,4138.12,0.00045210033242670805,0.000451998165863283
2023-05-09,4119.17,-0.00457937420857779,-0.004589891663841041
2023-05-10,4137.64,0.004483913021312571,0.00447389023302669
2023-05-11,4130.62,-0.00169661932889287,-0.0016980602174566802
2023-05-12,4124.08,-0.00158329742266294,-0.00158455216261984
2023-05-15,4136.28,0.0029582355337431903,0.00295386856523448
2023-05-16,4109.900000000001,-0.0063777113735047405,-0.00639813586199316
2023-05-17,4158.77,0.0118908002627802,0.0118206601644479
2023-05-18,4198.05,0.00944510035419111,0.009400774284705671
2023-05-19,4191.9800000000005,-0.0014459094103216302,-0.00144695574605914
2023-05-22,4192.63,0.000155057991688912,0.000155045971441059
2023-05-23,4145.58,-0.0112220730186064,-0.01128551556449
2023-05-24,4115.24,-0.007318638164020561,-0.00734555078586715
2023-05-25,4151.28,0.00875769092446621,0.00871956478556325
2023-05-26,4205.45,0.0130489873003026,0.0129645827353136
2023-05-30,4205.52,1.66450677099306e-05,1.66449291823282e-05
2023-05-31,4179.83,-0.006108638170785221,-0.006127372232971851
2023-06-01,4221.02,0.009854467765435531,0.00980622914966534
2023-06-02,4282.37,0.0145344016375188,0.0144297896521437
2023-06-05,4273.79,-0.00200356344734343,-0.00200557326556811
2023-06-06,4283.85,0.0023538826194080503,0.00235111657749003
2023-06-07,4267.52,-0.00381199154965739,-0.0038192757067673903
2023-06-08,4293.93,0.006188606028794121,0.00616953524709693
2023-06-09,4298.86,0.0011481323635922401,0.0011474737636884501
2023-06-12,4338.93,0.009321075820101221,0.00927790266568443
2023-06-13,4369.01,0.006932584761680791,0.00690866488336583
2023-06-14,4372.59,0.0008194076003487091,0.000819072069219616
2023-06-15,4425.84,0.0121781369851734,0.012104580063652599
2023-06-16,4409.59,-0.0036716193988033403,-0.0036783763376504303
2023-06-20,4388.71,-0.00473513410543835,-0.004746380368690651
2023-06-21,4365.6900000000005,-0.00524527708597755,-0.0052590818461865805
2023-06-22,4381.89,0.00371075362657458,0.0037038857650539504
2023-06-23,4348.33,-0.0076587956338476405,-0.0076882748223071505
2023-06-26,4328.82,-0.00448677998220015,-0.0044968757892661
2023-06-27,4378.41,0.0114557777870181,0.0113906572305121
2023-06-28,4376.86,-0.000354009788941734,-0.00035407246519950905
2023-06-29,4396.4400000000005,0.00447352668351275,0.00446355020531417
2023-06-30,4450.38,0.0122690176597431,0.012194363266362699
2023-07-03,4455.59,0.00117068654811492,0.0011700018289601802
2023-07-05,4446.82,-0.0019683139606652103,-0.0019702536362673903
2023-07-06,4411.59,-0.00792251541551037,-0.007954065287478301
2023-07-07,4398.95,-0.00286518012779979,-0.00286929261360235
2023-07-10,4409.53,0.0024051194034939703,0.0024022317330228203
2023-07-11,4439.26,0.00674221515671758,0.0067195880716203905
2023-07-12,4472.16,0.007411145100759911,0.00738381750105289
2023-07-13,4510.04,0.008470179957783321,0.00843450926676954
2023-07-14,4505.42,-0.00102438115848191,-0.00102490619545012
2023-07-17,4522.79,0.00385535643735757,0.0038479435973795403
2023-07-18,4554.9800000000005,0.00711728822253521,0.007092079866132411
2023-07-19,4565.72,0.0023578588709500803,0.00235508348351421
2023-07-20,4534.87,-0.006756875147840961,-0.00677980618185159
2023-07-21,4536.34,0.00032415482692993403,0.00032410230010493303
2023-07-24,4554.64,0.00403408915557479,0.00402597403534175
2023-07-25,4567.46,0.00281471202992978,0.0028107581456501504
2023-07-26,4566.75,-0.000155447447815593,-0.00015545953102232801
2023-07-27,4537.41,-0.00642470027919206,-0.00644542749114129
2023-07-28,4582.2300000000005,0.00987788187534289,0.00982941450876758
2023-07-31,4588.96,0.0014687171966489801,0.00146763968645659
2023-08-01,4576.7300000000005,-0.0026650918726683903,-0.0026686495524480902
2023-08-02,4513.39,-0.013839575417383,-0.013936235197657
2023-08-03,4501.89,-0.00254797391760964,-0.00255122552767151
2023-08-04,4478.03,-0.005299996223808391,-0.00531409102745674
2023-08-07,4518.4400000000005,0.00902405745383561,0.00898358395525865
2023-08-08,4499.38,-0.00421827002239705,-0.004227192022498051
