parameter,mean,sd,q2.5,q50,q97.5
mu,0.0009902957309996,0.0002695797867319,0.0004677534581906,0.0009832787750115,0.0015155311532237
sigma2,3.972769281077174e-05,3.5921883400099697e-06,3.310298727390583e-05,3.952577374560991e-05,4.6979767081840056e-05
nu,3.8584630274759992,0.5693457298985128,2.909018995662078,3.800164186600424,5.071844392520828
