parameter,mean,sd,q2.5,q50,q97.5
mu,0.0009690039022230092,0.00027545935593863217,0.0004263352645830957,0.000968720459997053,0.0015076327514735287
sigma2,3.9887819118466976e-05,3.68218999115197e-06,3.315817526426378e-05,3.969214574795587e-05,4.7532237644665446e-05
nu,3.9062152334738887,0.5905338886102238,2.9322327603013374,3.848243286601312,5.229490494546837
