n_obs,n_iter,burn_in,thin,saved_draws,mh_acceptance_rate_nu,chain,seed
751.0,120000.0,20000.0,20.0,5000.0,0.4344,1.0,211.0
751.0,120000.0,20000.0,20.0,5000.0,0.433725,2.0,1211.0
751.0,120000.0,20000.0,20.0,5000.0,0.43219166666666664,3.0,2211.0
751.0,120000.0,20000.0,20.0,5000.0,0.435925,4.0,3211.0
