iter,mu,sigma2,nu,chain
20020,0.0007310184259100928,4.105881448230848e-05,4.075418944586383,1
20040,0.0016974881819832046,4.108264416024729e-05,4.331789374712201,1
20060,0.0007634728753348937,4.038084302335589e-05,5.00720450284914,1
20080,0.0006484956512822454,3.714975650143539e-05,3.5259276715778993,1
20100,0.0007968122106585432,4.195154536052841e-05,3.832793641512537,1
20120,0.0007575876267221323,4.355290991890612e-05,4.311325946470204,1
20140,0.0006467530695182741,4.070648659376788e-05,4.200402651976202,1
20160,0.0010316094168026705,3.8337227644329516e-05,3.6142479162588836,1
20180,0.0011648180417541817,4.5720375000092084e-05,4.766292546850619,1
20200,0.0011986362152124144,4.273988585644231e-05,3.7462106708766525,1
20220,0.0012906479300348838,4.211104798124072e-05,3.9282944038937933,1
20240,0.0014294169550362597,3.768062940189017e-05,4.466384165666403,1
20260,0.0011471076429734747,4.3742513791392734e-05,5.440836115121918,1
20280,0.0011802618147588118,4.5588296576241346e-05,5.617024917934829,1
20300,0.0010419130841222222,4.343495054889493e-05,4.677262294345397,1
20320,0.0013503069845978172,4.042764990131012e-05,4.444985031986633,1
20340,0.00115027973361894,3.9126550833539315e-05,3.755598203768727,1
20360,0.0011381824744028902,4.554894627109012e-05,4.1584045297034375,1
20380,0.001208294981029905,3.575036004374556e-05,4.0809837420829975,1
20400,0.0010963096398216212,4.3327971280605546e-05,4.768283276197371,1
20420,0.0010739122197964681,3.6729617456294414e-05,3.6990726049069504,1
20440,0.0012104292196528784,4.3650909841578784e-05,4.519510389013233,1
20460,0.0013645205105203221,4.5695280404561457e-05,4.228324342079494,1
20480,0.00048050247305964755,3.960386054695823e-05,3.385483166509869,1
20500,0.0017650797133679594,4.1690810980390056e-05,4.0544933910201975,1
20520,0.0008689147829633627,3.9524571875982736e-05,3.8932901445827373,1
20540,0.001059785500433925,3.653316594442304e-05,3.6322799134089143,1
20560,0.0014143064280973555,3.8353822691514966e-05,3.3376047648394955,1
20580,0.0009669830123582993,3.269701086076888e-05,3.25226485431595,1
20600,0.001096353524565045,2.9783764692186535e-05,2.7860954200166343,1
20620,0.0007072425478540362,3.279274242019255e-05,3.119141399739781,1
20640,0.001088736294797718,4.066172069882202e-05,4.517751427397917,1
20660,0.0009526900446023012,3.6856145042080405e-05,3.3035782923406742,1
20680,0.0010629746517226146,4.013321985123178e-05,3.804330489778189,1
20700,0.0006809300155960395,3.791783980521303e-05,3.8391669748606536,1
20720,0.0011008024678686474,3.7344371930954405e-05,3.5450140868552813,1
20740,0.0010118456089233522,3.706205457757991e-05,3.720668599063549,1
20760,0.0012831323650235905,3.878667583727544e-05,3.5681354192220134,1
20780,0.000722521384163288,4.793319849574343e-05,4.711691630349717,1
20800,0.0011753875080943751,3.952087805106185e-05,4.149814789060461,1
20820,0.0012148566444463414,3.846685680062875e-05,3.882711433878612,1
20840,0.0009168668975880774,4.364999142375613e-05,4.3375583053577085,1
20860,0.0013537020486335905,3.8474118598047274e-05,3.144982871143692,1
20880,0.001214286189532186,3.5470970859052105e-05,2.74457987049977,1
20900,0.0008246974624237529,4.3529011515203785e-05,3.6615302073805394,1
20920,0.0013842037099831958,3.492424116200722e-05,3.3873285382453275,1
20940,0.0009817956859378934,3.790304437901705e-05,2.8271627142491784,1
20960,0.0011919290649356966,3.778468556253732e-05,3.5112640739116427,1
20980,0.0006299803771955363,3.6924006336570416e-05,3.4692988154410553,1
21000,0.0011702414586843002,3.15110738389344e-05,3.119432491375475,1
21020,0.0008797500268680451,3.60484487908335e-05,3.1642363903656916,1
21040,0.0009538004518213172,3.914141925187442e-05,3.537736039099931,1
21060,0.0007811305081991213,4.353088451133257e-05,3.819097351201772,1
21080,0.0010799618923001018,4.422634516111844e-05,3.5253919685983233,1
