parameter,draws,mean,sd,mcse,ess,ess_per_draw,split_rhat,geweke_z
mu,5000,0.0009705596456459815,0.0002746443974660971,3.9756630627381155e-06,4772.2407699623245,0.9544481539924649,0.9998302181031359,-0.5385641664427346
nu,5000,3.9229358384863606,0.5849101998215185,0.020143001434712378,843.1988823459504,0.1686397764691901,0.999901624550888,1.7713731610667727
sigma2,5000,3.995427678981182e-05,3.622130372480059e-06,8.946510727899085e-08,1639.157864853008,0.3278315729706016,0.9999768193669019,1.7446052258078215
