iter,mu,sigma2,nu
10010,0.00114504812394913,3.2427476638519025e-05,2.542031449425194
10020,0.0007452250079180485,3.7394321816519954e-05,3.0126320463113796
10030,0.0007313447427571387,3.86206063895814e-05,3.4483408815987655
10040,0.000539062859748224,4.123290854253493e-05,3.3850834420321196
10050,0.0008203632488564177,3.456833518179087e-05,2.9927774562861673
10060,0.001133892780481096,3.070175494457131e-05,3.0253396910044508
10070,0.0005901848913217135,3.260442220414437e-05,2.9922022051616146
10080,0.0004507722169330575,3.5215087424669765e-05,3.4001891062863945
10090,0.0014242859879808503,3.487770602148413e-05,3.3024468466802435
10100,0.001268710107693187,3.5288015708167804e-05,3.822361025689088
10110,0.0009392748702439796,3.6816854360034645e-05,3.424499502923779
10120,0.0009577931632716708,4.198655336755017e-05,3.475790235428515
10130,0.0012991832476542753,3.7475889746713626e-05,4.065318830387538
10140,0.0010330399054632,4.354991025101471e-05,4.224560604508019
10150,0.0014751880233967775,4.067795851700861e-05,4.264667047082593
10160,0.0009021878387585199,3.815166143088308e-05,3.8075265751074583
10170,0.0012509751177836102,3.8121526128467056e-05,3.9276764981250656
10180,0.0007849182033753453,4.2319076160238705e-05,4.81173554516449
10190,0.0005879342803409078,4.6060307555119626e-05,4.899154350889342
10200,0.0011063641438502443,4.418900875588863e-05,4.3566663252541415
10210,0.0012577962400171045,4.16575029171668e-05,4.376495617391063
10220,0.0011554099366930853,4.250032764670785e-05,4.123312464874363
10230,0.001271533317649617,4.549743772420099e-05,4.500908897112517
10240,0.0011715921466493298,4.277709222237652e-05,3.905137353381967
10250,0.0008711938781607587,3.797689998943339e-05,4.28895264683695
10260,0.0007756507713849766,4.626834275599535e-05,4.234039447665188
10270,0.001099384411763048,3.7669336636728104e-05,4.472461656009563
10280,0.000963038687574423,4.5575409002450136e-05,3.804692503925456
10290,0.0009820214927528871,4.513315643942585e-05,3.967999204469701
10300,0.0006957931994455807,4.015261068122763e-05,3.4508714274110392
10310,0.0011856569509194525,4.196329048325188e-05,3.383541435938657
10320,0.0010010746936266952,3.814645742176056e-05,3.026365468086034
10330,0.0008017303690706976,3.629928992863202e-05,3.390742964455603
10340,0.0008175324373812894,3.5721762478346526e-05,3.0366301823207458
10350,0.0011158008488006406,4.043371242009563e-05,4.006593818327009
10360,0.0009718793044059268,4.3199782946894855e-05,3.9846167746911085
10370,0.0011170010873851495,4.108592410901408e-05,4.261745500396032
10380,0.001020280370376499,4.495393044337845e-05,5.060424380974702
10390,0.0009504537275631921,4.8139569205101206e-05,5.160142225095637
10400,0.0011708664895776263,3.901631871377632e-05,4.488141663757022
10410,0.0008581613332773833,4.2244144046937475e-05,5.503792488629889
10420,0.0012229420815017729,5.032110524608526e-05,4.592896269024913
10430,0.0014832015436534464,4.1883406460418104e-05,4.663680519555523
10440,0.0012285374577583018,4.570341658840128e-05,4.663680519555523
10450,0.0007179829243867792,4.421106782888233e-05,4.959350585973864
10460,0.0011297916495466404,4.36357804309543e-05,3.4963517365260772
10470,0.0012813167418868527,3.9207948423917594e-05,4.0333334733889075
10480,0.0013380125002566776,3.984786778656203e-05,3.862788273483879
10490,0.0007202172944820854,4.282401212987952e-05,3.786476232745952
10500,0.0012258609673980606,3.9718413696455403e-05,3.5449010271133945
10510,0.0007771019254397489,3.580461734775757e-05,3.399343581947778
10520,0.001683909338108971,3.595119689462975e-05,3.1994938715591674
10530,0.0008526467543730473,4.5642708745680005e-05,2.975802505794296
10540,0.0007175189861458902,4.1432824832149365e-05,3.3620934835757015
10550,0.0008764059291995046,4.0471739948191525e-05,3.3865539300787066
10560,0.000917205659323334,3.813178102626806e-05,3.7027341547431663
