parameter,mean,sd,q2.5,q50,q97.5
mu,0.0009705596456460316,0.0002746443974660972,0.0004249841137133935,0.0009705634271731591,0.0014883141310744565
sigma2,3.995427678981182e-05,3.622130372480059e-06,3.323867259899024e-05,3.979866461650715e-05,4.751219462767264e-05
nu,3.9229358384863606,0.5849101998215185,2.955073340227657,3.8667068615073843,5.232125376920586
